CH.ZH	Zurich	Zurich	2657895
CH.ZG	Zug	Zug	2657907
CH.VD	Vaud	Vaud	2658182
CH.VS	Valais	Valais	2658205
CH.UR	Uri	Uri	2658226
CH.TI	Ticino	Ticino	2658370
CH.TG	Thurgau	Thurgau	2658372
CH.SO	Solothurn	Solothurn	2658563
CH.SZ	Schwyz	Schwyz	2658664
CH.SH	Schaffhausen	Schaffhausen	2658760
CH.SG	Saint Gallen	Saint Gallen	2658821
CH.OW	Obwalden	Obwalden	2659315
CH.NW	Nidwalden	Nidwalden	2659471
CH.NE	Neuchâtel	Neuchatel	2659495
CH.LU	Lucerne	Lucerne	2659810
CH.JU	Jura	Jura	2660207
CH.GR	Grisons	Grisons	2660522
CH.GL	Glarus	Glarus	2660593
CH.GE	Geneva	Geneva	2660645
CH.FR	Fribourg	Fribourg	2660717
CH.BE	Bern	Bern	2661551
CH.BS	Basel-City	Basel-City	2661602
CH.BL	Basel-Landschaft	Basel-Landschaft	2661603
CH.AR	Appenzell Ausserrhoden	Appenzell Ausserrhoden	2661739
CH.AI	Appenzell Innerrhoden	Appenzell Innerrhoden	2661741
CH.AG	Aargau	Aargau	2661876
