<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/def/common/unit>,<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/def/grib2/parameter>,<http://metarelate.net/vocabulary/index.html#identifier>,@id,dct:description,dct:references,rdf:type,rdfs:label,skos:prefLabel
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,72,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-72>,'Total column integrated hail'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Total column integrated hail'@en,'Total column integrated hail'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,73,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-73>,'Hail precipitation rate'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Hail precipitation rate'@en,'Hail precipitation rate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,74,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-74>,'Total column integrated graupel'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Total column integrated graupel'@en,'Total column integrated graupel'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,75,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-75>,'Graupel (snow pellets) precipitation rate'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Graupel (snow pellets) precipitation rate'@en,'Graupel (snow pellets) precipitation rate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,76,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-76>,'Convective rain rate'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Convective rain rate'@en,'Convective rain rate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,77,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-77>,'Large scale rain rate'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Large scale rain rate'@en,'Large scale rain rate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,78,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-78>,'Total column integrated water (all components including precipitation)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Total column integrated water (all components including precipitation)'@en,'Total column integrated water (all components including precipitation)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,79,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-79>,'Evaporation rate'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Evaporation rate'@en,'Evaporation rate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,8,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-8>,'Total precipitation'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Total precipitation'@en,'Total precipitation'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,80,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-80>,'Total condensate'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Total condensate'@en,'Total condensate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,81,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-81>,'Total column-integrated condensate'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Total column-integrated condensate'@en,'Total column-integrated condensate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,82,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-82>,'Cloud ice mixing-ratio'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Cloud ice mixing-ratio'@en,'Cloud ice mixing-ratio'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,83,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-83>,'Specific cloud liquid water content'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Specific cloud liquid water content'@en,'Specific cloud liquid water content'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,84,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-84>,'Specific cloud ice water content'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Specific cloud ice water content'@en,'Specific cloud ice water content'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,85,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-85>,'Specific rainwater content'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Specific rainwater content'@en,'Specific rainwater content'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,86,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-86>,'Specific snow water content'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Specific snow water content'@en,'Specific snow water content'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,9,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-9>,'Large-scale precipitation (non-convective)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Large-scale precipitation (non-convective)'@en,'Large-scale precipitation (non-convective)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1_m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,90,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-90>,'Total kinematic moisture flux'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Total kinematic moisture flux'@en,'Total kinematic moisture flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1_m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,91,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-91>,'u-component (zonal) kinematic moisture flux'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'u-component (zonal) kinematic moisture flux'@en,'u-component (zonal) kinematic moisture flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1_m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,92,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-92>,'v-component (meridional) kinematic moisture flux'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'v-component (meridional) kinematic moisture flux'@en,'v-component (meridional) kinematic moisture flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/(Code_table_4.205)>,<http://codes.wmo.int/grib2/codeflag/4.1/0-13>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-13-0>,'Aerosol type'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Aerosol type'@en,'Aerosol type'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-13>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-13-255>,'Missing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/DU>,<http://codes.wmo.int/grib2/codeflag/4.1/0-14>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-14-0>,'Total ozone'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Total ozone'@en,'Total ozone'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-14>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,1,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-14-1>,'Ozone mixing ratio'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Ozone mixing ratio'@en,'Ozone mixing ratio'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/DU>,<http://codes.wmo.int/grib2/codeflag/4.1/0-14>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-14-2>,'Total column integrated ozone'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Total column integrated ozone'@en,'Total column integrated ozone'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-14>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-14-255>,'Missing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-0>,'Base spectrum width'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Base spectrum width'@en,'Base spectrum width'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,1,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-1>,'Base reflectivity'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Base reflectivity'@en,'Base reflectivity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,10,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-10>,'Reflectivity of cloud ice'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Reflectivity of cloud ice'@en,'Reflectivity of cloud ice'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,11,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-11>,'Reflectivity of snow'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Reflectivity of snow'@en,'Reflectivity of snow'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,12,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-12>,'Reflectivity of rain'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Reflectivity of rain'@en,'Reflectivity of rain'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,13,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-13>,'Reflectivity of graupel'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Reflectivity of graupel'@en,'Reflectivity of graupel'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,14,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-14>,'Reflectivity of hail'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Reflectivity of hail'@en,'Reflectivity of hail'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-2>,'Base radial velocity'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Base radial velocity'@en,'Base radial velocity'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-255>,'Missing'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,3,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-3>,'Vertically integrated liquid water (VIL)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Vertically integrated liquid water (VIL)'@en,'Vertically integrated liquid water (VIL)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,4,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-4>,'Layer-maximum base reflectivity'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Layer-maximum base reflectivity'@en,'Layer-maximum base reflectivity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,5,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-5>,'Precipitation'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Precipitation'@en,'Precipitation'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/N_unit>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,6,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-6>,'Radar spectra (1)'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Radar spectra (1)'@en,'Radar spectra (1)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/N_unit>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,7,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-7>,'Radar spectra (2)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Radar spectra (2)'@en,'Radar spectra (2)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/N_unit>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,8,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-8>,'Radar spectra (3)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Radar spectra (3)'@en,'Radar spectra (3)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/dB>,<http://codes.wmo.int/grib2/codeflag/4.1/0-15>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,9,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-15-9>,'Reflectivity of cloud droplets'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Reflectivity of cloud droplets'@en,'Reflectivity of cloud droplets'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/mm6_m-3>,<http://codes.wmo.int/grib2/codeflag/4.1/0-16>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-16-0>,'Equivalent radar reflectivity factor for rain'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Equivalent radar reflectivity factor for rain'@en,'Equivalent radar reflectivity factor for rain'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/mm6_m-3>,<http://codes.wmo.int/grib2/codeflag/4.1/0-16>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,1,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-16-1>,'Equivalent radar reflectivity factor for snow'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Equivalent radar reflectivity factor for snow'@en,'Equivalent radar reflectivity factor for snow'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/mm6_m-3>,<http://codes.wmo.int/grib2/codeflag/4.1/0-16>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-16-2>,'Equivalent radar reflectivity factor for parameterized convection'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Equivalent radar reflectivity factor for parameterized convection'@en,'Equivalent radar reflectivity factor for parameterized convection'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-16>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-16-255>,'Missing'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Missing'@en,'Missing'@en
