<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/def/common/unit>,<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/def/grib2/parameter>,<http://metarelate.net/vocabulary/index.html#identifier>,@id,dct:description,dct:references,rdf:type,rdfs:label,skos:prefLabel
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,18,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-18>,'Snow temperature (top of snow)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Snow temperature (top of snow)'@en,'Snow temperature (top of snow)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,19,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-19>,'Turbulent transfer coefficient for heat'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Turbulent transfer coefficient for heat'@en,'Turbulent transfer coefficient for heat'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-2>,'Potential temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Potential temperature'@en,'Potential temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m2/s>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,20,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-20>,'Turbulent diffusion coefficient for heat'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Turbulent diffusion coefficient for heat'@en,'Turbulent diffusion coefficient for heat'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,21,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-21>,'Apparent temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Apparent temperature'@en,'Apparent temperature'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-255>,'Missing'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,3,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-3>,'Pseudo-adiabatic potential temperature or equivalent potential temperature'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Pseudo-adiabatic potential temperature or equivalent potential temperature'@en,'Pseudo-adiabatic potential temperature or equivalent potential temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,4,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-4>,'Maximum temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Maximum temperature'@en,'Maximum temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,5,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-5>,'Minimum temperature'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Minimum temperature'@en,'Minimum temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,6,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-6>,'Dewpoint temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Dewpoint temperature'@en,'Dewpoint temperature'@en
