1145332	Charkh-e Gawak-e Pā’īn	Charkh-e Gawak-e Pa'in	Carkhgawake Pa'in,Carkhgawake Pā’īn,Charkh Gavak-e Pa'in,Charkh Gavak-e Pā’īn,Charkh-e Gawak-e Pa'in,Charkh-e Gawak-e Pā’īn,chrkh gwk payyn,چرخ گوک پائین	31.76706	61.62679	P	PPL	AF		06	2109			0		518	Asia/Kabul	2024-07-25
1147398	Darah-ye Bākhū	Darah-ye Bakhu	Bakhu Darya,Bākhu Daryā,Darah-ye Awkalu,Darah-ye Awkalū,Darah-ye Bakhu,Darah-ye Bākhū,Darrahe Awkalu,Darrahe Bakhu,درۀ اوکلو,درۀ باخو,Ḏaṟṟahe Awkalu,Ḏaṟṟahe Bākhu	33.316	65.668	H	STMI	AF		41				0		1475	Asia/Kabul	2012-01-16
1149561	Daryā-ye Āb-e Dāwāng	Darya-ye Ab-e Dawang	Ab-i-Daung,Darya-i-Ab-i-Dawang,Darya-ye Ab-e Davang,Darya-ye Ab-e Dawang,Daryā-ye Āb-e Dāvang,Daryā-ye Āb-e Dāwāng,dryay ab dawang,Āb-i-Daung,دریای آب داوانگ,Ḏaṟyā-i-Āb-i-Ḏāwāng	37.49987	70.15838	H	STM	AF		01				0		821	Asia/Kabul	2012-01-16
1348474	Katur Nīkêh	Katur Nikeh	Kator Nikeh,Katur Nikeh,Katur Nīkêh,Katurnika,ktr nykh,کتر نيکه	31.80919	68.88268	S	SHRN	AF		29	2905			0		1894	Asia/Kabul	2020-06-11
1407268	Pīr-e Pāymāl Ghar	Pir-e Paymal Ghar	Gora Piri-Paymal'gar,Gora Piri-Paymal’gar,Pir-e Paymal Ghar,Pīr-e Pāymāl Ghar,kwh pyr paymal,pyr paymal ghr,كوهٔ پيرٔ پايمال,پیر پایمال غر	31.64149	65.66133	T	MT	AF		23	2401			0	1314	1279	Asia/Kabul	2018-02-17
1422843	Āb Khvorak-e Bālā	Ab Khvorak-e Bala		35.49778	67.7425	P	PPL	AF		32	1505			0		2550	Asia/Kabul	2018-02-17
1428438	Rōd-e Bazāzī	Rod-e Bazazi	Bazazi,Rod-e Bazazi,Rode Bazazi,Rud-e Bazazi,Rōd-e Bazāzī,Rūd-e Bazāzī,rwd bzazy,رود بزازی,رودٔ بزازی,Ṟōḏe Bazāzi	33.30626	62.27815	H	STMI	AF		11				0		1093	Asia/Kabul	2020-06-11
1433797	Wêchkêy Ghar	Wechkey Ghar	Gora Vachkaygar,Wachkay Ghar,Wackay Ghar,Wačkay Ghar,Wechkey Ghar,Wêchkêy Ghar,kwh wchky,كوهٔ وچكی,وچکۍ غر	32.29518	68.92545	T	MT	AF		29	2906			0	1880	1860	Asia/Kabul	2020-06-11
1434699	Tōr Kōṯah	Tor Kotah	Gora Torkota,Tor Kota,Tor Kotah,Towr Kowtah,Tōr Kōṯah,Tōṟ Kōta,twr kwty,تور كوتی,تور کوټه	33.48425	69.83353	T	MT	AF		37	3205			0		1844	Asia/Kabul	2020-06-11
1435974	Māmūr Jum‘ah Khān	Mamur Jum'ah Khan	Mamur Jom`eh Khan,Mamur Jum`ah Khan,Mamur Jum`akhan,Māmūr Jom‘eh Khān,Māmūr Jum‘ah Khān,Māmūṟ Jum‘akhān	30.93417	61.88222	P	PPL	AF		19	2201			0		487	Asia/Kabul	2018-02-17
1438534	Kārēz-e Muḩammad Rasūl	Karez-e Muhammad Rasul	Karayz-e Muhammad Rasul,Karez-e Muhammad Rasul,Kareze Mohammad-rasul,Karezmukhammed-Rasul',Karezmukhammed-Rasul’,Kariz Mohammed-rasul,Kariz-e Mohammad Rasul,Kārayz-e Muḩammad Rasūl,Kārēz-e Muḩammad Rasūl,Kārīz Moḩammeḏ-ṟasūl,Kārīz-e Moḩammad Rasūl,Kāṟēze Mohammaḏ-ṟasūl,karېz mhmd rswl,کارېز محمد رسول	33.69656	68.84198	P	PPL	AF		17	507			0		2466	Asia/Kabul	2018-02-17
1438716	Takht	Takht	Gora Takht,Takht,tkht,تخت	33.5043	68.8535	T	HLL	AF		36	702			0	2309	2296	Asia/Kabul	2018-02-17
1438848	‘Abdul Ḩamīd	'Abdul Hamid	`Abd ol Hamid,`Abdul Hamid,`Abdulhamid,عبدال حمید,‘Abd ol Ḩamīd,‘Abdul Ḩamīd,‘Abḏulẖamīḏ	31.19211	62.15397	P	PPL	AF		19	2204			0		485	Asia/Kabul	2018-02-17
